"a.fileName","incomingDependencies","incomingDependenciesWeight","Source Cypher File: domains/java/queries/artifact-dependencies/Incoming_Java_Artifact_Dependencies.cypher"
"/axon-server-connector-5.1.2.jar",1,16,""
"/axon-eventsourcing-5.1.2.jar",2,92,""
"/axon-conversion-5.1.2.jar",5,112,""
"/axon-update-5.1.2.jar",0,0,""
"/axon-modelling-5.1.2.jar",2,64,""
"/axoniq-spring-boot-autoconfigure-5.1.2.jar",0,0,""
"/axon-tracing-opentelemetry-5.1.2.jar",0,0,""
"/axon-common-5.1.2.jar",10,1732,""
"/axon-metrics-micrometer-5.1.2.jar",0,0,""
"/axon-messaging-5.1.2.jar",7,1306,""
"/axon-test-5.1.2.jar",0,0,""
