"communityId","conductance","modularity","memberCount","someMemberNamesShort","someMemberNames","Source Cypher File: Community_Detection/Community_Detection_9_Community_Metrics.cypher"
1,1,-9.674818597151302e-07,3,"actuator,converters,upcasting","org.axonframework.actuator,org.axonframework.serialization.converters,org.axonframework.serialization.upcasting",""
2,0.8584070796460177,0.0008361880020305175,8,"server,source,checker,axonserver,connection,legacyjpa,jpa,api","org.axonframework.test.server,org.axonframework.axonserver.connector.heartbeat.source,org.axonframework.axonserver.connector.heartbeat.connection.checker,org.axonframework.actuator.axonserver,org.axonframework.springboot.service.connection,org.axonframework.springboot.util.legacyjpa,org.axonframework.springboot.util.jpa,org.axonframework.updates.api",""
3,1,-9.891008988025919e-05,8,"inmemory,commandfilter,digest,annotation,interceptors,legacyvalidation,avro,detection","org.axonframework.eventsourcing.eventstore.inmemory,org.axonframework.commandhandling.distributed.commandfilter,org.axonframework.common.digest,org.axonframework.deadline.annotation,org.axonframework.eventhandling.interceptors,org.axonframework.messaging.interceptors.legacyvalidation,org.axonframework.serialization.avro,org.axonframework.updates.detection",""
4,0.9921875,-8.640449102690435e-05,8,"heartbeat,util,opentelemetry,registration,json,updates,configuration,inmemory","org.axonframework.axonserver.connector.heartbeat,org.axonframework.axonserver.connector.event.util,org.axonframework.tracing.opentelemetry,org.axonframework.queryhandling.registration,org.axonframework.serialization.json,org.axonframework.updates,org.axonframework.updates.configuration,org.axonframework.modelling.saga.repository.inmemory",""
5,0.9731543624161074,-0.00018637761653080107,11,"eventscheduler,utils,statements,springboot,util,caching,property,gateway,replay","org.axonframework.test.eventscheduler,org.axonframework.test.utils,org.axonframework.eventsourcing.eventstore.jdbc.statements,org.axonframework.springboot,org.axonframework.springboot.util,org.axonframework.common.caching,org.axonframework.common.property,org.axonframework.eventhandling.gateway,org.axonframework.eventhandling.replay",""
6,1,-0.0002944130908656574,5,"callbacks,inmemory,jdbc,annotation,attributes","org.axonframework.commandhandling.callbacks,org.axonframework.eventhandling.tokenstore.inmemory,org.axonframework.eventhandling.tokenstore.jdbc,org.axonframework.queryhandling.annotation,org.axonframework.tracing.attributes",""
7,0.7958041958041958,0.006451596046463018,10,"test,deadline,matchers,legacyjpa,lock,stream,jpa","org.axonframework.test,org.axonframework.test.deadline,org.axonframework.test.matchers,org.axonframework.common.legacyjpa,org.axonframework.common.lock,org.axonframework.common.stream,org.axonframework.eventhandling.tokenstore.jpa,org.axonframework.eventhandling.tokenstore.legacyjpa,org.axonframework.modelling.command.legacyjpa",""
8,0.7237308146399055,0.017004879214070293,18,"processor,io,jpa,quartz,async,deadletter,jdbc,legacyjpa,scheduling","org.axonframework.axonserver.connector.processor,org.axonframework.common.io,org.axonframework.common.jpa,org.axonframework.deadline.quartz,org.axonframework.eventhandling.async,org.axonframework.eventhandling.deadletter,org.axonframework.eventhandling.deadletter.jdbc,org.axonframework.eventhandling.deadletter.jpa,org.axonframework.eventhandling.deadletter.legacyjpa",""
9,0.9171136031204291,-0.0032715249783511003,17,"saga,util,subscription,conflictresolution,jdbc,snapshotting,legacyjpa,gateway,annotation","org.axonframework.test.saga,org.axonframework.axonserver.connector.util,org.axonframework.axonserver.connector.query.subscription,org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing.eventstore.jdbc,org.axonframework.eventsourcing.snapshotting,org.axonframework.springboot.autoconfig.legacyjpa,org.axonframework.commandhandling.gateway,org.axonframework.common.annotation",""
10,0.7549631310266591,0.010088458896951235,16,"connector,query,axon,command,legacyjpa,jpa,distributed,jdbc,transaction","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query,org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.command,org.axonframework.eventsourcing.eventstore.legacyjpa,org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.commandhandling.distributed,org.axonframework.common.jdbc,org.axonframework.common.transaction",""
11,0.5406904357668364,-0.01133454268565799,16,"config,aggregate,eventsourcing,eventstore,autoconfig,commandhandling,common,deadline,eventhandling","org.axonframework.config,org.axonframework.test.aggregate,org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore,org.axonframework.springboot.autoconfig,org.axonframework.commandhandling,org.axonframework.common,org.axonframework.deadline,org.axonframework.eventhandling",""
